Giacomo Brichetto;1983;20/03/2013 GK PALERMO
Salvatore Aronica;1978;20/03/2013 DF PALERMO
Augusto Tomar Marcos Nelson;1983;20/03/2013 DF PALERMO
Andrea Mantovani;1984;20/03/2013 DF PALERMO
Steve Von Bergen;1983;20/03/2013 DF PALERMO
Michael Morganella;1989;20/03/2013 DF PALERMO
Santiago Garcia;1988;20/03/2013 DF PALERMO
Ezequiel Matias Munoz;1990;20/03/2013 DF PALERMO
David Aquino Inchausti;1994;20/03/2013 DF PALERMO
Edoardo Goldaniga;1993;20/03/2013 DF PALERMO
Massimo Donati;1981;20/03/2013 MF PALERMO
Andrea Dossena;1981;20/03/2013 MF PALERMO
Edgar Osvaldo Barreto;1984;20/03/2013 MF PALERMO
Nicolas Benito Viola;1989;20/03/2013 MF PALERMO
Diego Fabbrini;1990;20/03/2013 MF PALERMO
Josip Ilicic;1988;20/03/2013 MF PALERMO
Egidio Raul Arevalo Rios;1982;20/03/2013 MF PALERMO
Mauro Abel Formica;1988;20/03/2013 MF PALERMO
Mauricio Ezequiel Sperduti;1986;20/03/2013 MF PALERMO
Jasmin Kurtic;1989;20/03/2013 MF PALERMO
Giulio Sanseverino;1994;20/03/2013 MF PALERMO
Alejandro Damian Faurlin;1986;20/03/2013 MF PALERMO
De Moraes Anselmo;1989;20/03/2013 MF PALERMO
Fabrizio Miccoli;1979;20/03/2013 FW PALERMO
Abel Mathias Platero Hernandez;1990;20/03/2013 FW PALERMO
Mauro Boselli;1985;20/03/2013 FW PALERMO
Paulo Dybala;1993;20/03/2013 FW PALERMO
Cephas Malele;1994;20/03/2013 FW PALERMO
Nicola Pavarini;1974;20/03/2013 GK PARMA
Antonio Mirante;1983;20/03/2013 GK PARMA
Pavol Bajza;1991;20/03/2013 GK PARMA
Daniele De Angelis;1995;20/03/2013 GK PARMA
Gabriel Alejandro Paletta;1986;20/03/2013 DF PARMA
Aleandro Rosi;1987;20/03/2013 DF PARMA
Alessandro Lucarelli;1977;20/03/2013 DF PARMA
Andrea Coda;1985;20/03/2013 DF PARMA
Fabiano Santacroce;1986;20/03/2013 DF PARMA
Yohan Benalouane;1987;20/03/2013 DF PARMA
Massimo Gobbi;1980;20/03/2013 DF PARMA
Christopher Petrini;1994;20/03/2013 DF PARMA
Emilio Washington Mac Eachen;1992;20/03/2013 DF PARMA
Marco Marchionni;1980;20/03/2013 MF PARMA
Stefano Morrone;1978;20/03/2013 MF PARMA
Jaime Andres Zapata Valdes;1981;20/03/2013 MF PARMA
Daniele Galloppa;1985;20/03/2013 MF PARMA
Jonathan Ludovic Biabiany;1988;20/03/2013 MF PARMA
Djamel Eddine Mesbah;1984;20/03/2013 MF PARMA
Sotiris Ninis;1990;20/03/2013 MF PARMA
Mc Donald Wanyama Mariga;1987;20/03/2013 MF PARMA
Rodney Strasser;1990;20/03/2013 MF PARMA
Raffaele Palladino;1984;20/03/2013 MF PARMA
Marco Parolo;1985;20/03/2013 MF PARMA
Filippo Boniperti;1991;20/03/2013 MF PARMA
Cristiano Colla;1993;20/03/2013 MF PARMA
Alvaro Garcia Rossell Ampuero;1992;20/03/2013 MF PARMA
Carvalho De Oliveira Amauri;1980;20/03/2013 FW PARMA
Ishak Belfodil;1992;20/03/2013 FW PARMA
Nicola Sansone;1991;20/03/2013 FW PARMA
Ivan Pelizzoli;1980;20/03/2013 GK PESCARA
Mattia Perin;1992;20/03/2013 GK PESCARA
Luca Savelloni;1995;20/03/2013 GK PESCARA
Salvatore Falso;1994;20/03/2013 GK PESCARA
Luciano Zauri;1978;20/03/2013 DF PESCARA
Antonio Bocchetti;1980;20/03/2013 DF PESCARA
Per Billeskov Kroldrup;1979;20/03/2013 DF PESCARA
Antonio Balzano;1986;20/03/2013 DF PESCARA
Damiano Zanon;1983;20/03/2013 DF PESCARA
Nicolas Bianchi Arce;1987;20/03/2013 DF PESCARA
Marco Capuano;1991;20/03/2013 DF PESCARA
Uros Cosic;1992;20/03/2013 DF PESCARA
David Mbodj Mbaye;1994;20/03/2013 DF PESCARA
Manuele Blasi;1980;20/03/2013 MF PESCARA
Francesco Modesto;1982;20/03/2013 MF PESCARA
Daniel Mazzella;1988;20/03/2013 MF PESCARA
Birkir Bjarnason;1988;20/03/2013 MF PESCARA
Emmanuel Cascione;1983;20/03/2013 MF PESCARA
Romulo Eugenio Togni;1982;20/03/2013 MF PESCARA
Giuseppe Sculli;1981;20/03/2013 MF PESCARA
Gaetano D'agostino;1982;20/03/2013 MF PESCARA
Giuseppe Rizzo;1991;20/03/2013 MF PESCARA
Vladimir Weiss;1989;20/03/2013 MF PESCARA
Lucas Cossenzo Chiaretti;1987;20/03/2013 MF PESCARA
Juan Fernando Quintero;1993;20/03/2013 MF PESCARA
Elvis Abbruscato;1981;20/03/2013 FW PESCARA
Ferdinando Sforzini;1984;20/03/2013 FW PESCARA
